CIM
LVS
APO
OMF
USB
PAGP
DCP
AZUL
WAB
PDLI
FITB
TNK
SAIL
CNC
VRAY
ORI
ADBE
BPYU
CDNS
BEN
GDS
FE
SQ
SWCH
LULU
HBAN
CLR
JD
LADR
ACM
CPRI
BRFS
HFC
BBAR
NUAN
SRC
LBTYK
LCA
REGN
TNDM
RHI
ORC
CNNE
FAST
UAA
NGL
OGE
TGI
KIM
CG
ZNGA
ADS
CIT
TXN
KNX
HLX
MSFT
AIG
STL
ELY
MGY
EPRT
VSH
ENTG
HBI
ARI
ST
PAYX
TRN
NWSA
CARG
TGNA
DELL
CARS
AXL
SPG
SLQT
PYPL
VTR
ETFC
HTA
MIDD
VST
AKAM
VERI
HRTX
BK
AMP
HPP
NVST
SITC
OUT
GSX
GMED
PCAR
ABR
CVNA
VIV
EPR
UA
ATRS
CHWY
SERV
REZI
CUK
CI
ZS
BKR
XYL
DNB
DVAX
ACHV
TME
OMC
AVLR
TOL
SEE
QDEL
QRVO
CRM
HTHT
LRN
FNB
AEP
CRWD
PACW
PEG
YUMC
HZNP
STWD
HOLX
LC
WIMI
GPRO
SPOT
PLNT
BJ
TEN
LYV
NK
VEEV
KPTI
AMAT
EAF
WMB
PEB
TRV
AMCX
ACGL
AROC
EYE
EIX
PBI
NEWR
JHG
C
VICI
FANG
ZEN
CYH
HAL
AM
EROS
GEL
TIGR
LSXMK
UE
EQR
NKTR
GRWG
GE
STT
AZN
PUMP
DDOG
TTMI
MUR
F
EXAS
SBH
ED
MYL
ESI
MCHP
RLGY
WDAY
CGNX
FBHS
PPG
PNC
TER
EVH
BRX
AMX
HOG
CMCSA
XP
BRMK
WRTC
SSNC
ARMK
VIAV
CDE
SNAP
ZM
WB
AMRX
LW
DHI
UMPQ
SEDG
IMAX
NMRK
EQH
HRB
UMC
BOOT
GAN
BNTX
SEAS
DAR
OC
EXEL
CRK
PBR
SGMO
SWN
AU
ZUO
LEVI
TWNK
SYY
OLLI
LTHM
LITE
WSM
AMGN
ALK
TRMB
GNW
HOMB
AIMT
TPR
GRFS
ATI
PLUG
SE
AMRN
HR
OKTA
MDB
SBS
PNR
UGI
BAH
NTRS
AMZN
SBSW
YPF
WBT
HUN
MPC
MDU
NVDA
PPC
DOW
CFX
HGV
ZION
ALLY
MGP
CF
VVV
NLOK
RNG
LM
UPWK
WIT
AL
VNO
TTWO
WERN
ROST
NRG
KMX
XLNX
VKTX
HDS
RDN
CNK
FIVN
SIRI
VMW
HWM
NMIH
OKE
YELP
XEC
GLPI
DLTR
FOXA
MAT
AGEN
PSEC
KLAC
BILL
EXTR
FNF
EPZM
GLUU
VIRT
PK
KHC
ETSY
WU
PGRE
ENBL
AVT
SFIX
MXIM
CTXS
AEO
BEST
PHM
OXLC
ESRT
MYGN
ARCO
WH
CMC
TW
MPW
ARR
ULTA
LYB
MAR
BGS
WY
PEAK
CUZ
RESI
HAS
AXTA
NBR
VFC
CODX
APT
GNUS
CAPR
DGLY
HTZ
AIM
MARK
APRN
INO
IZEA
GNPX
SAVE
NVAX
AAL
OPGN
BYND
VXRT
NCLH
PLAY
SPCB
UAL
CIDM
SAVA
M
ROKU
CCL
TSLA
MITT
BBBY
CLVS
PENN
SRNE
X
RIOT
SPCE
WTRH
RAD
MNK
RCL
BIMI
TLRY
IVR
CAR
OSTK
RH
SM
FCEL
AMC
WATT
PLCE
CAKE
PVAC
DAL
LL
PSTI
AMD
EAT
TUP
SIG
MFA
GME
MTDR
FSCT
DIN
CRDF
NAT
CHNG
NIO
KSS
RRGB
WYNN
SKT
JBLU
MIST
CEMI
RIG
ENPH
BFYT
BA
NAVB
AR
SHAK
MAC
RRC
BCRX
BIG
MGM
MRNA
NERV
MRO
RUTH
GRUB
TCO
IBM
HOME
NLS
SPY
SQQQ
TQQQ
SLV
SDOW
SPLV
SPDW
BABA
CTBK
JPST
EFAV
DUST
JDST
DIA
ALT
BE
NKLA
KC
DADA
OCFT
CZR
BNR
VSLR
FUTU
CWH
RUN
ADCT
VIR
ONEM
KOD
VIE
NVTA
OPCH
THC
IMVT
TGTX
BBIO
DNLI
APLS
PGNY
DCPH
FATE
MNTA
RPRX
CVET
IOVA
LEGN
ARVN
NTRA
ARWR
PTCT
ADPT
ALLO
SAGE
INSM
MMSI
ACAD
ACHC
IMMU
SEM
HCSG
HALO
VNET
ZI
PING
DT
MDLA
NET
NTNX
LYFT
NCR
WORK
SMAR
IIVI
LPSN
CLDR
PS
DXC
MTSI
XRX
MIME
PAGS
STNE
SVMK
PLAN
TENB
FEYE
BOX
UBER
VSAT
EPAY
LSCC
ON
PRSP
RAMP
FORM
AMKR
BXP
UNVR
AES
