date,spidx,log return
2020-12-02,3669.01,0.0017895485348597621
2020-12-03,3666.72,-0.0006243414287024246
2020-12-04,3699.12,0.008797424045414703
2020-12-07,3691.96,-0.0019374711787083175
2020-12-08,3702.25,0.0027832605897471193
2020-12-09,3672.82,-0.007980983560702697
2020-12-10,3668.1,-0.00128594253865602
2020-12-11,3663.46,-0.0012657607983834493
2020-12-14,3647.49,-0.0043687962305264194
2020-12-15,3694.62,0.012838447626446777
2020-12-16,3701.17,0.0017712784469306416
2020-12-17,3722.48,0.005741126947631056
2020-12-18,3709.41,-0.003517278505023192
2020-12-21,3694.92,-0.003913931036978114
2020-12-22,3687.26,-0.002075268484142857
2020-12-23,3690.01,0.0007455332737925254
2020-12-24,3703.06,0.0035303368029281483
2020-12-28,3735.36,0.008684694603369354
