close,high,low,open,timestamp,volume,symbol,date_key_int,time_key
34.11,34.36,33.45,33.64,1563926400,41952256,AMD,20190723,20:00:00
33.67,34.25,33.62,34.05,1564012800,36705616,AMD,20190724,20:00:00
34.02,34.77,33.865,34.23,1564099200,43502776,AMD,20190725,20:00:00
33.48,34.18,32.98,34.14,1564358400,45921978,AMD,20190728,20:00:00
33.87,33.94,32.94,33.21,1564444800,72198880,AMD,20190729,20:00:00
30.45,32.3,30.3,32.08,1564531200,119190001,AMD,20190730,20:00:00
29.86,31.48,29.1,30.5,1564617600,80878890,AMD,20190731,20:00:00
29.44,29.7301,28.94,29.48,1564704000,60410852,AMD,20190801,20:00:00
27.99,28.49,27.65,28.26,1564963200,74333240,AMD,20190804,20:00:00
28.86,29.05,28.2,28.86,1565049600,60578444,AMD,20190805,20:00:00
29.19,29.28,28.37,28.47,1565136000,58577543,AMD,20190806,20:00:00
33.92,34.27,31.48,31.53,1565222400,167278810,AMD,20190807,20:00:00
34.19,35.55,33.08,33.45,1565308800,132483947,AMD,20190808,20:00:00
32.43,34.65,32.08,34.16,1565568000,106936040,AMD,20190811,20:00:00
32.11,33.14,31.72,32.36,1565654400,102579321,AMD,20190812,20:00:00
30.24,31.05,29.51,31.0,1565740800,127521456,AMD,20190813,20:00:00
29.67,30.73,29.21,30.63,1565827200,72606817,AMD,20190814,20:00:00
31.18,31.48,30.21,30.305,1565913600,71588978,AMD,20190815,20:00:00
31.48,32.19,31.42,32.0,1566172800,67781613,AMD,20190818,20:00:00
30.72,31.305,30.45,30.94,1566259200,48016381,AMD,20190819,20:00:00
31.7,31.74,30.84,31.05,1566345600,41635046,AMD,20190820,20:00:00
31.9,31.92,30.98,31.76,1566432000,47742174,AMD,20190821,20:00:00
29.54,31.83,29.4,31.3,1566518400,83931683,AMD,20190822,20:00:00
30.28,30.72,29.94,30.34,1566777600,50858859,AMD,20190825,20:00:00
30.2,30.89,29.6,30.6,1566864000,53351711,AMD,20190826,20:00:00
30.78,31.1801,29.7,29.92,1566950400,55896445,AMD,20190827,20:00:00
31.45,31.83,31.33,31.47,1567036800,44485479,AMD,20190828,20:00:00
31.45,31.865,31.13,31.6,1567123200,40215501,AMD,20190829,20:00:00
30.9,31.14,30.68,30.83,1567468800,38080254,AMD,20190902,20:00:00
30.95,31.83,30.85,31.32,1567555200,46709780,AMD,20190903,20:00:00
31.5,32.05,31.12,31.79,1567641600,57932080,AMD,20190904,20:00:00
30.56,31.51,30.48,31.5,1567728000,51672982,AMD,20190905,20:00:00
30.5,31.1752,30.24,30.93,1567987200,54413163,AMD,20190908,20:00:00
30.23,30.38,29.77,30.22,1568073600,48604766,AMD,20190909,20:00:00
29.76,30.43,29.51,30.38,1568160000,50631683,AMD,20190910,20:00:00
30.21,30.84,29.95,30.08,1568246400,53618344,AMD,20190911,20:00:00
30.69,30.85,29.95,30.27,1568332800,47758753,AMD,20190912,20:00:00
30.83,31.15,30.26,30.37,1568592000,52248540,AMD,20190915,20:00:00
30.99,31.32,30.74,31.07,1568678400,35125750,AMD,20190916,20:00:00
30.42,30.893,29.88,30.75,1568764800,47277309,AMD,20190917,20:00:00
30.29,30.96,30.14,30.57,1568851200,41930831,AMD,20190918,20:00:00
30.05,30.47,29.65,30.36,1568937600,83555555,AMD,20190919,20:00:00
30.64,30.8,30.07,30.12,1569196800,45185837,AMD,20190922,20:00:00
29.52,30.75,29.29,30.54,1569283200,73220942,AMD,20190923,20:00:00
29.54,29.65,28.5501,29.48,1569369600,58691579,AMD,20190924,20:00:00
29.47,29.77,29.0,29.67,1569456000,41182228,AMD,20190925,20:00:00
28.72,29.77,28.35,29.17,1569542400,54144672,AMD,20190926,20:00:00
28.99,29.05,28.36,28.89,1569801600,40332052,AMD,20190929,20:00:00
28.76,29.54,28.64,29.05,1569888000,37366072,AMD,20190930,20:00:00
28.31,28.85,28.03,28.5,1569974400,44048752,AMD,20191001,20:00:00
28.68,28.778,27.43,28.28,1570060800,56905408,AMD,20191002,20:00:00
29.01,29.06,28.57,28.83,1570147200,34609211,AMD,20191003,20:00:00
28.93,29.63,28.8431,28.9,1570406400,39745268,AMD,20191006,20:00:00
28.23,28.64,27.92,28.55,1570492800,44432078,AMD,20191007,20:00:00
28.46,28.95,28.35,28.8,1570579200,36321583,AMD,20191008,20:00:00
28.38,28.89,28.0,28.52,1570665600,41171995,AMD,20191009,20:00:00
29.75,30.2,28.81,28.83,1570752000,66632445,AMD,20191010,20:00:00
30.53,30.61,29.38,29.71,1571011200,44818233,AMD,20191013,20:00:00
30.72,30.92,30.17,30.7,1571097600,42142385,AMD,20191014,20:00:00
30.81,31.41,30.53,30.6,1571184000,43064255,AMD,20191015,20:00:00
31.14,31.4,30.86,31.3,1571270400,37010205,AMD,20191016,20:00:00
30.97,31.33,30.29,31.06,1571356800,39711244,AMD,20191017,20:00:00
32.03,32.26,31.41,31.5,1571616000,52648067,AMD,20191020,20:00:00
31.51,32.15,31.5,32.06,1571702400,36860307,AMD,20191021,20:00:00
31.36,31.65,30.83,31.09,1571788800,26858110,AMD,20191022,20:00:00
31.72,31.86,31.34,31.58,1571875200,28448977,AMD,20191023,20:00:00
32.71,32.86,31.83,31.9,1571961600,45368837,AMD,20191024,20:00:00
33.69,33.9103,33.15,33.16,1572220800,51223609,AMD,20191027,20:00:00
33.03,33.9,32.7,33.73,1572307200,78700076,AMD,20191028,20:00:00
33.13,33.34,32.035,32.93,1572393600,78228769,AMD,20191029,20:00:00
33.93,34.34,32.82,32.98,1572480000,67881623,AMD,20191030,20:00:00
34.89,35.0,34.1,34.37,1572566400,64238609,AMD,20191031,20:00:00
36.29,36.45,34.76,35.19,1572825600,83343783,AMD,20191103,19:00:00
36.15,37.18,35.98,36.56,1572912000,84848638,AMD,20191104,19:00:00
35.93,36.48,35.52,36.06,1572998400,51675119,AMD,20191105,19:00:00
36.28,36.99,36.03,36.52,1573084800,54350178,AMD,20191106,19:00:00
36.29,36.58,36.0,36.06,1573171200,39396230,AMD,20191107,19:00:00
36.31,36.6648,35.58,35.96,1573430400,43572264,AMD,20191110,19:00:00
36.71,37.13,36.4,36.43,1573516800,58664523,AMD,20191111,19:00:00
37.52,37.96,36.5779,36.65,1573603200,69178093,AMD,20191112,19:00:00
38.35,38.5,37.36,37.51,1573689600,65936947,AMD,20191113,19:00:00
38.56,39.37,38.34,38.94,1573776000,63020866,AMD,20191114,19:00:00
39.88,39.985,38.6,38.65,1574035200,66332767,AMD,20191117,19:00:00
41.29,41.79,39.685,40.14,1574121600,94600235,AMD,20191118,19:00:00
40.98,41.75,40.07,40.96,1574208000,79968318,AMD,20191119,19:00:00
39.52,40.7095,38.64,40.42,1574294400,88069355,AMD,20191120,19:00:00
39.15,39.89,38.19,39.36,1574380800,56931883,AMD,20191121,19:00:00
39.79,40.17,39.495,39.5,1574640000,45879404,AMD,20191124,19:00:00
38.99,39.48,38.81,39.3,1574726400,43764146,AMD,20191125,19:00:00
39.41,39.76,39.07,39.46,1574812800,33733792,AMD,20191126,19:00:00
39.15,39.515,39.02,39.1,1574985600,17609932,AMD,20191128,19:00:00
38.73,39.41,38.44,39.32,1575244800,37942678,AMD,20191201,19:00:00
38.9,38.93,37.15,37.34,1575331200,52991201,AMD,20191202,19:00:00
39.69,39.82,39.13,39.38,1575417600,44372195,AMD,20191203,19:00:00
39.62,40.22,39.55,39.95,1575504000,35710943,AMD,20191204,19:00:00
39.63,40.19,39.56,40.1,1575590400,31150377,AMD,20191205,19:00:00
38.93,39.84,38.91,39.46,1575849600,28035391,AMD,20191208,19:00:00
39.44,39.73,38.82,39.2,1575936000,33863025,AMD,20191209,19:00:00
39.47,39.61,39.04,39.44,1576022400,31794689,AMD,20191210,19:00:00
42.59,42.62,39.25,39.4,1576108800,87398169,AMD,20191211,19:00:00
41.15,42.95,41.06,42.35,1576195200,79985411,AMD,20191212,19:00:00
42.35,42.98,41.73,41.73,1576454400,58890776,AMD,20191215,19:00:00
42.77,43.105,42.15,42.51,1576540800,44935574,AMD,20191216,19:00:00
42.3,43.06,42.24,42.79,1576627200,39182983,AMD,20191217,19:00:00
42.83,43.34,42.6,42.63,1576713600,45950709,AMD,20191218,19:00:00
44.15,44.26,43.26,43.44,1576800000,68216726,AMD,20191219,19:00:00
45.46,45.625,44.39,44.58,1577059200,56065288,AMD,20191222,19:00:00
46.54,46.61,45.77,46.1,1577145600,44432192,AMD,20191223,19:00:00
46.63,47.31,45.66,46.99,1577318400,57712693,AMD,20191225,19:00:00
46.18,46.88,45.975,46.85,1577404800,36624234,AMD,20191226,19:00:00
45.52,46.17,44.66,46.14,1577664000,41235735,AMD,20191229,19:00:00
45.86,46.09,44.9223,45.07,1577750400,31791204,AMD,20191230,19:00:00
49.1,49.25,46.63,46.86,1577923200,80764599,AMD,20200101,19:00:00
48.6,49.39,47.54,48.03,1578009600,73362157,AMD,20200102,19:00:00
48.39,48.86,47.86,48.02,1578268800,48176286,AMD,20200105,19:00:00
48.25,49.39,48.04,49.35,1578355200,59935556,AMD,20200106,19:00:00
47.83,48.3,47.14,47.85,1578441600,53868957,AMD,20200107,19:00:00
48.97,49.96,48.39,48.94,1578528000,76649637,AMD,20200108,19:00:00
48.165,49.29,48.0,49.26,1578614400,44215594,AMD,20200109,19:00:00
48.745,48.86,48.24,48.66,1578873600,34474728,AMD,20200112,19:00:00
48.21,49.035,47.91,48.64,1578960000,38694180,AMD,20200113,19:00:00
48.545,49.08,48.12,48.23,1579046400,40199943,AMD,20200114,19:00:00
49.77,50.31,48.99,49.17,1579132800,58898926,AMD,20200115,19:00:00
50.93,51.05,49.9,50.2,1579219200,57722501,AMD,20200116,19:00:00
51.05,51.81,50.7,50.96,1579564800,49094965,AMD,20200120,19:00:00
51.43,51.875,51.195,51.63,1579651200,40772219,AMD,20200121,19:00:00
51.71,51.745,50.74,51.34,1579737600,40135442,AMD,20200122,19:00:00
50.35,52.81,49.47,52.2803,1579824000,80004909,AMD,20200123,19:00:00
49.26,49.79,47.9,48.45,1580083200,48878578,AMD,20200126,19:00:00
50.53,50.85,49.48,50.03,1580169600,62343844,AMD,20200127,19:00:00
47.51,48.07,46.1,47.84,1580256000,112559197,AMD,20200128,19:00:00
48.78,48.81,46.13,46.49,1580342400,70460163,AMD,20200129,19:00:00
47.0,48.58,46.79,48.4,1580428800,60322431,AMD,20200130,19:00:00
48.02,48.1,46.23,46.4,1580688000,47076956,AMD,20200202,19:00:00
49.45,49.75,48.61,49.21,1580774400,46302078,AMD,20200203,19:00:00
49.84,50.42,49.31,50.29,1580860800,42737104,AMD,20200204,19:00:00
49.32,49.39,47.63,48.8,1580947200,48670617,AMD,20200205,19:00:00
49.73,50.665,48.635,48.91,1581033600,53107582,AMD,20200206,19:00:00
52.26,52.3,49.35,49.47,1581292800,60971719,AMD,20200209,19:00:00
53.8,54.48,52.91,53.22,1581379200,74719054,AMD,20200210,19:00:00
53.89,54.85,53.53,54.53,1581465600,45994933,AMD,20200211,19:00:00
54.53,55.03,53.34,53.43,1581552000,51640035,AMD,20200212,19:00:00
55.31,55.4,54.56,55.19,1581638400,52365370,AMD,20200213,19:00:00
56.89,58.13,54.84,54.94,1581984000,70346387,AMD,20200217,19:00:00
58.9,59.27,57.51,57.99,1582070400,58597294,AMD,20200218,19:00:00
57.27,59.02,56.15,58.44,1582156800,74203373,AMD,20200219,19:00:00
53.28,56.8,52.89,56.71,1582243200,88553374,AMD,20200220,19:00:00
49.12,50.275,47.49,48.175,1582502400,86624116,AMD,20200223,19:00:00
47.57,51.24,47.12,51.14,1582588800,88699382,AMD,20200224,19:00:00
47.49,49.29,47.07,47.7,1582675200,86897680,AMD,20200225,19:00:00
44.01,46.24,42.21,45.38,1582761600,106416222,AMD,20200226,19:00:00
45.48,46.15,41.04,41.355,1582848000,100667707,AMD,20200227,19:00:00
47.46,47.68,44.66,47.42,1583107200,102324726,AMD,20200301,19:00:00
46.75,50.2,45.67,49.03,1583193600,141972288,AMD,20200302,19:00:00
50.11,50.14,47.2101,48.25,1583280000,93311779,AMD,20200303,19:00:00
